timestamp, bead_x, bead_y, bead_z
3.234375,0.000314,0.015915,0.108196 
3.234375,-0.000037,0.009369,0.100797 
3.234375,-0.000079,0.004020,0.094867 
3.250000,0.000099,0.001879,0.092253 
3.250000,-0.000396,0.000961,0.093283 
3.250000,-0.000315,-0.002818,0.097819 
3.250000,-0.000509,-0.007901,0.103890 
3.265625,-0.000887,-0.014828,0.111220 
3.265625,-0.000515,-0.021499,0.119207 
3.265625,-0.000909,-0.024114,0.126273 
3.265625,-0.001219,-0.023835,0.133418 
3.281250,-0.000499,-0.019255,0.138777 
3.281250,-0.000555,-0.011769,0.141183 
3.281250,-0.000501,-0.005574,0.139328 
3.296875,0.000108,-0.000456,0.134136 
3.296875,-0.000315,0.001733,0.130129 
3.296875,-0.000141,0.002707,0.130749 
3.296875,-0.000052,0.006713,0.135671 
3.312500,0.000131,0.011598,0.140243 
3.312500,0.000613,0.018521,0.140157 
3.312500,0.000651,0.025165,0.135608 
3.312500,0.000660,0.028454,0.128772 
3.328125,0.000760,0.027490,0.121882 
3.328125,0.000619,0.022908,0.115091 
3.328125,0.000318,0.015906,0.108232 
3.328125,-0.000053,0.009416,0.100830 
3.343750,-0.000059,0.004077,0.094884 
3.343750,0.000094,0.001834,0.092246 
3.343750,-0.000397,0.000985,0.093257 
3.359375,-0.000292,-0.002811,0.097813 
3.359375,-0.000512,-0.007930,0.103886 
3.359375,-0.000885,-0.014743,0.111168 
3.359375,-0.000500,-0.021565,0.119165 
3.375000,-0.001026,-0.024412,0.126656 
3.375000,-0.001228,-0.023781,0.133389 
3.375000,-0.000488,-0.019284,0.138771 
3.375000,-0.000512,-0.011603,0.140801 
3.390625,-0.000507,-0.005546,0.139337 
3.390625,0.000107,-0.000493,0.134150 
3.390625,-0.000435,0.001357,0.130549 
3.390625,-0.000128,0.002738,0.130743 
3.406250,-0.000150,0.006377,0.136073 
3.406250,0.000090,0.011623,0.140232 
3.406250,0.000617,0.018495,0.140151 
3.421875,0.000638,0.025109,0.135623 
3.421875,0.000663,0.028465,0.128814 
3.421875,0.000761,0.027497,0.121916 
3.421875,0.000626,0.022880,0.115147 
3.437500,0.000323,0.015958,0.108257 
3.437500,-0.000062,0.009439,0.100857 
3.437500,-0.000064,0.004054,0.094898 
3.437500,0.000095,0.001854,0.092240 
3.453125,-0.000398,0.000968,0.093259 
3.453125,-0.000143,-0.002484,0.097369 
3.453125,-0.000393,-0.007528,0.103419 
3.453125,-0.000885,-0.014753,0.111144 
3.468750,-0.000501,-0.021585,0.119134 
3.468750,-0.001012,-0.024327,0.126620 
3.468750,-0.001224,-0.023800,0.133377 
3.484375,-0.000496,-0.019354,0.138777 
3.484375,-0.000518,-0.011579,0.140806 
3.484375,-0.000512,-0.005563,0.139342 
3.484375,0.000104,-0.000543,0.134166 
3.500000,-0.000353,0.001758,0.130149 
3.500000,-0.000131,0.002695,0.130742 
3.500000,-0.000079,0.006625,0.135638 
3.500000,0.000079,0.011641,0.140216 
3.515625,0.000619,0.018436,0.140167 
3.515625,0.000610,0.025077,0.135652 
3.515625,0.000653,0.028481,0.128844 
3.515625,0.000775,0.027496,0.121941 
3.531250,0.000601,0.022891,0.115175 
3.531250,0.000333,0.016011,0.108287 
3.531250,-0.000036,0.009500,0.100892 
3.546875,-0.000075,0.004065,0.094901 
3.546875,0.000095,0.001844,0.092223 
3.546875,-0.000406,0.000965,0.093259 
3.546875,-0.000154,-0.002456,0.097372 
3.562500,-0.000388,-0.007512,0.103399 
3.562500,-0.000904,-0.014751,0.111101 
3.562500,-0.000521,-0.021558,0.119078 
3.562500,-0.000999,-0.024312,0.126600 
3.578125,-0.001238,-0.023817,0.133371 
3.578125,-0.000499,-0.019380,0.138776 
3.578125,-0.000503,-0.011597,0.140807 
3.578125,-0.000444,-0.005333,0.138949 
3.593750,0.000109,-0.000543,0.134180 
3.593750,-0.000353,0.001752,0.130174 
3.593750,-0.000144,0.002665,0.130740 
