timestamp, bead_x, bead_y, bead_z
1.437500,-0.000468,0.001351,0.138259 
1.437500,-0.000756,-0.013837,0.130882 
1.453125,-0.000929,-0.026567,0.121455 
1.453125,-0.001527,-0.034752,0.111714 
1.453125,-0.001676,-0.039576,0.104610 
1.453125,-0.001385,-0.039915,0.102703 
1.468750,-0.001757,-0.039898,0.107384 
1.468750,-0.001595,-0.040313,0.118348 
1.468750,-0.001221,-0.038176,0.130611 
1.468750,-0.001692,-0.039432,0.139493 
1.484375,-0.001522,-0.040672,0.141335 
1.484375,-0.001131,-0.036541,0.136757 
1.484375,-0.001503,-0.031223,0.127999 
1.484375,-0.001207,-0.023793,0.117619 
1.500000,-0.000121,-0.008889,0.107867 
1.500000,-0.000454,0.006268,0.102482 
1.500000,0.000185,0.018102,0.101018 
1.515625,0.000986,0.030046,0.103890 
1.515625,0.000788,0.038954,0.110019 
1.515625,0.001004,0.040677,0.117651 
1.515625,0.001059,0.039798,0.125739 
1.531250,0.000654,0.037063,0.133057 
1.531250,0.000674,0.027310,0.138449 
1.531250,0.000334,0.014495,0.140536 
1.531250,-0.000358,0.001762,0.137908 
1.546875,-0.000730,-0.014001,0.131318 
1.546875,-0.001052,-0.026644,0.121480 
1.546875,-0.001484,-0.034718,0.111728 
1.546875,-0.001585,-0.039569,0.104617 
1.562500,-0.001508,-0.039971,0.102689 
1.562500,-0.001674,-0.039807,0.107363 
1.562500,-0.001550,-0.040213,0.118311 
1.578125,-0.001358,-0.038283,0.130594 
1.578125,-0.001654,-0.039377,0.139476 
1.578125,-0.001436,-0.040638,0.141345 
1.578125,-0.001225,-0.036631,0.136782 
1.593750,-0.001514,-0.031268,0.128018 
1.593750,-0.001123,-0.023699,0.117607 
1.593750,-0.000318,-0.009255,0.108290 
1.593750,-0.000379,0.006486,0.102079 
1.609375,0.000153,0.018076,0.101028 
1.609375,0.000888,0.030063,0.103858 
1.609375,0.000747,0.038850,0.109976 
1.609375,0.000931,0.040760,0.117606 
1.625000,0.001071,0.039807,0.125723 
1.625000,0.000686,0.036936,0.133048 
1.625000,0.000656,0.027401,0.138441 
1.640625,0.000349,0.014570,0.140482 
1.640625,-0.000377,0.001746,0.137897 
1.640625,-0.000817,-0.013793,0.131349 
1.640625,-0.001033,-0.026534,0.121528 
1.656250,-0.001391,-0.034665,0.111778 
1.656250,-0.001636,-0.039516,0.104638 
1.656250,-0.001602,-0.039916,0.102670 
1.656250,-0.001572,-0.039753,0.107301 
1.671875,-0.001616,-0.040229,0.118221 
1.671875,-0.001416,-0.038236,0.130522 
1.671875,-0.001534,-0.039310,0.139427 
1.671875,-0.001524,-0.040628,0.141341 
1.687500,-0.001272,-0.036616,0.136826 
1.687500,-0.001371,-0.031182,0.128058 
1.687500,-0.001172,-0.023769,0.117664 
1.703125,-0.000259,-0.009071,0.107887 
1.703125,-0.000364,0.006148,0.102495 
1.703125,0.000166,0.018023,0.101039 
1.703125,0.000956,0.029964,0.103862 
1.718750,0.000821,0.038924,0.109946 
1.718750,0.000908,0.040705,0.117577 
1.718750,0.001031,0.039774,0.125687 
1.718750,0.000735,0.037019,0.133023 
1.734375,0.000604,0.027491,0.138417 
1.734375,0.000317,0.014588,0.140493 
1.734375,-0.000328,0.001854,0.137912 
1.734375,-0.000864,-0.013743,0.131387 
1.750000,-0.001048,-0.026490,0.121569 
1.750000,-0.001351,-0.034658,0.111822 
1.750000,-0.001685,-0.039460,0.104662 
1.765625,-0.001563,-0.039842,0.102692 
1.765625,-0.001549,-0.039727,0.107301 
1.765625,-0.001623,-0.040219,0.118204 
1.765625,-0.001409,-0.038214,0.130488 
1.781250,-0.001498,-0.039329,0.139410 
1.781250,-0.001563,-0.040649,0.141332 
1.781250,-0.001308,-0.036613,0.136823 
1.781250,-0.001318,-0.031163,0.128076 
1.796875,-0.001181,-0.023761,0.117675 
1.796875,-0.000251,-0.009147,0.107911 
1.796875,-0.000234,0.006393,0.102091 
1.796875,0.000083,0.018089,0.101039 
